position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
175,106,1G1Z9hpmbR5yRBBFRzu5D3,Drummer Boy,Justin Bieber;Busta Rhymes,pop,0.6427886251766198,122.991,4B,0.85,0.491,8,1,4,-8.327,0.025,0.000131,0.149,0.0819
176,297,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,pop,0.5695429305455841,140.06,4B,0.664,0.467,8,1,4,-7.417,0.0709,0.0056,0.106,0.0741
177,185,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,pop,0.6012714550645673,171.005,3B,0.73,0.334,1,1,4,-5.934,0.00146,9.54e-05,0.0897,0.0598
178,197,2ubrTNQou3onHm2WNHcCyT,Yellow,Coldplay,pop,0.5398515781960547,173.372,1B,0.661,0.285,11,1,4,-7.227,0.00239,0.000121,0.234,0.0281
179,172,4xmkpE1Si5JL7NFxWrhV0S,"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon;The Fusion Project,pop,0.6041029275262223,155.867,10A,0.854,0.277,11,0,4,-3.932,0.176,0.0,0.126,0.059
180,221,0UZLaEOSIc5kg0cc7eszqC,Manjha,Vishal Mishra,pop,0.54485195041978,169.882,10A,0.515,0.368,11,0,4,-7.478,0.674,0.0,0.104,0.0427
181,194,3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN;Sia,pop,0.41304944601082455,180.042,10A,0.437,0.0951,11,0,4,-6.589,0.102,1.32e-06,0.106,0.0386
182,205,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,pop,0.4859404004078143,185.727,9A,0.611,0.0899,4,0,3,-8.271,0.0228,0.0,0.116,0.0467
183,169,1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon;Sachet-Parampara,pop,0.5195552528224394,171.843,8A,0.585,0.345,9,0,3,-5.18,0.45,0.0,0.319,0.0428
184,116,4yMbbysldl7E3WgiaugnwM,Bekhayali,Sachet Tandon,pop,0.5151252436760755,168.4,8A,0.582,0.365,9,0,3,-5.18,0.449,0.0,0.319,0.0413
